"","Area","Year","Week","State","Location","Total_Kes","Duration_of_Outbreak_in_day","Weekly_Rainfall","Weekly_Wind","Weekly_Humidity","Weekly_Solar_Radiation_Mjm2","Population"
"1337","Petaling",2014,53,"SELANGOR","Seksyen_U10__Puncak
Perdana___Uitm_",64,60,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
"1338","Petaling",2014,43,"SELANGOR","Seksyen_27_Flat_J_Blok_40__
42",124,36,86.8857142857143,19.0285714285714,1.15714285714286,18.4842857142857,1765495
"1339","Petaling",2014,53,"SELANGOR","Taman_Lestari_Putra_6",60,60,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
"1340","Petaling",2014,36,"SELANGOR","Pjs_2C_Flat_Taman_Medan
Cahaya",119,94,85.4714285714286,2.82857142857143,1.28571428571429,15.4485714285714,1765495
"1341","Petaling",2014,38,"SELANGOR","Pju_8_Apt_Flora_Damansara_2_Blok_C__D__E__F",117,117,86.2571428571429,6.37142857142857,1.48571428571429,15.1557142857143,1765495
"1342","Petaling",2014,43,"SELANGOR","Batu_13_Kg_Sri_Aman__Jalan
Berkat_",135,34,86.8857142857143,19.0285714285714,1.15714285714286,18.4842857142857,1765495
"1343","Petaling",2014,43,"SELANGOR","Taman_Serdang_Perdana_5
_Rumah_Kedai_",146,34,86.8857142857143,19.0285714285714,1.15714285714286,18.4842857142857,1765495
"1344","Petaling",2014,49,"SELANGOR","Pusat_Bandar_Puchong_Persiaran_Indera__Sri_Cempaka_",179,33,88.6285714285714,16.0857142857143,1.07142857142857,17.8171428571429,1765495
"1345","Petaling",2014,43,"SELANGOR","Taman_Serdang_Perdana
One_South",157,33,86.8857142857143,19.0285714285714,1.15714285714286,18.4842857142857,1765495
"1346","Petaling",2015,16,"SELANGOR","Kt_Pju_3_Apt_Bayu_Puteri",124,32,1.77142857142857,1.57142857142857,76.9714285714286,21.5357142857143,1765495
"1347","Petaling",2014,53,"SELANGOR","Seksyen_3_Shah_Alam",179,57,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
"1348","Petaling",2014,53,"SELANGOR","Seksyen_U10__Puncak_Perdana_Teres_A___Jln_U10_15___U10_29_",122,56,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
"1349","Petaling",2014,43,"SELANGOR","Seksyen_3_Shah_Alam",157,33,86.8857142857143,19.0285714285714,1.15714285714286,18.4842857142857,1765495
"1350","Petaling",2014,38,"SELANGOR","Pju_10_Apartment_Idaman_1__Blok_A_B_C_H_J_K_L_M_N_",1,65,86.2571428571429,6.37142857142857,1.48571428571429,15.1557142857143,1765495
"1351","Petaling",2014,43,"SELANGOR","Ss_3",12,32,86.8857142857143,19.0285714285714,1.15714285714286,18.4842857142857,1765495
"1352","Petaling",2014,38,"SELANGOR","Pju_9_Sd_12_Flat_Sri______Cempaka_",96,65,86.2571428571429,6.37142857142857,1.48571428571429,15.1557142857143,1765495
"1353","Petaling",2014,53,"SELANGOR","Kt_Pju_1A_Pprt_A___Blok_A_B_C",132,55,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
"1354","Petaling",2014,38,"SELANGOR","Pusat_Bandar_Puchong_Jln_Wawasan_2",51,61,86.2571428571429,6.37142857142857,1.48571428571429,15.1557142857143,1765495
"1355","Petaling",2014,43,"SELANGOR","Pju_10_Saujana_Damansara",179,32,86.8857142857143,19.0285714285714,1.15714285714286,18.4842857142857,1765495
"1356","Petaling",2014,43,"SELANGOR","Pju_5_Seksyen_5_Sepah_Puteri
Jln_5_1_5_19",1,32,86.8857142857143,19.0285714285714,1.15714285714286,18.4842857142857,1765495
"1357","Petaling",2014,53,"SELANGOR","Bl_Pju_8_Apt_Flora_Damansara_1__Blok_A__B_",12,54,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
"1358","Petaling",2014,53,"SELANGOR","Taman_Lestari_Putra_3",131,54,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
"1359","Petaling",2014,43,"SELANGOR","Usj_11_3",146,32,86.8857142857143,19.0285714285714,1.15714285714286,18.4842857142857,1765495
"1360","Petaling",2014,50,"SELANGOR","Ss_18_5",135,34,78.6142857142857,0,1.61428571428571,19.1471428571429,1765495
"1361","Petaling",2014,53,"SELANGOR","Seksyen_7_Shah_Alam_Teres_B_Zon_A_Jln_7_29___7_30__Unisel___Jln_A7_A___F7_F",114,78,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
"1362","Petaling",2014,37,"SELANGOR","Seksyen_6_Teres_A",146,40,88.3,19.1714285714286,1.54285714285714,17.0357142857143,1765495
"1363","Petaling",2014,37,"SELANGOR","Pju_9_Sd_9",179,40,88.3,19.1714285714286,1.54285714285714,17.0357142857143,1765495
"1364","Petaling",2014,36,"SELANGOR","Pju_3_Kondo_Palm_Spring_1
Blok_A__B___C",12,47,85.4714285714286,2.82857142857143,1.28571428571429,15.4485714285714,1765495
"1365","Petaling",2014,38,"SELANGOR","Pju_9_Sd_9",1,47,86.2571428571429,6.37142857142857,1.48571428571429,15.1557142857143,1765495
"1366","Petaling",2014,44,"SELANGOR","Ss_22_Damansara_Jaya",159,127,85.6142857142857,10.2571428571429,1.44285714285714,20.4728571428571,1765495
"1367","Petaling",2014,43,"SELANGOR","Usj_2_5",23,42,86.8857142857143,19.0285714285714,1.15714285714286,18.4842857142857,1765495
"1368","Petaling",2014,53,"SELANGOR","Bl_Pju_8_Armanee_Terrace
Kondo",64,69,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
"1369","Petaling",2014,36,"SELANGOR","Taman_Pinggiran_Putra_1
Pangsapuri_Cemara",157,44,85.4714285714286,2.82857142857143,1.28571428571429,15.4485714285714,1765495
"1370","Petaling",2014,50,"SELANGOR","Ss_3__Taman_Universiti",168,32,78.6142857142857,0,1.61428571428571,19.1471428571429,1765495
"1371","Petaling",2014,44,"SELANGOR","Taman_Puchong_Utama_12",132,88,85.6142857142857,10.2571428571429,1.44285714285714,20.4728571428571,1765495
"1372","Petaling",2014,53,"SELANGOR","Ss_15_5_Teres",119,49,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
"1373","Petaling",2014,44,"SELANGOR","Seksyen_7_Flat_A___Blok_1___12__Blok_38___43",125,81,85.6142857142857,10.2571428571429,1.44285714285714,20.4728571428571,1765495
"1374","Petaling",2014,44,"SELANGOR","Seksyen_8_Petaling_Jaya",51,69,85.6142857142857,10.2571428571429,1.44285714285714,20.4728571428571,1765495
"1375","Petaling",2014,47,"SELANGOR","Pju_10_Saujana_Damansara",43,60,82.9428571428571,8.25714285714286,1.57142857142857,16.0642857142857,1765495
"1376","Petaling",2014,53,"SELANGOR","Seksyen_7_Flat_C___Blok_44__
51",43,60,75.7666666666667,0.533333333333333,1.83333333333333,14.43,1765495
