"","Year","Week","State","Area","Location","Total_Kes","Duration_of_Outbreak_in_day","Weekly_Rainfall","Weekly_Wind","Weekly_Humidity","Weekly_Solar_Radiation_Mjm2"
"3664",2015,7,"SELANGOR","Petaling","Seksyen 27 (Teres D : Jln 27/54-27/87)","13",52,66.01429,0,2.171429,19.87571
"3665",2015,7,"SELANGOR","Petaling","Du Ss 21 (1)","14",52,66.01429,0,2.171429,19.87571
"3666",2015,7,"SELANGOR","Petaling","Taman Puchong Utama Court 2","31",52,66.01429,0,2.171429,19.87571
"3667",2015,7,"SELANGOR","Gombak","Tmn Jati","18",51,66.01429,0,2.171429,19.87571
"3668",2015,7,"SELANGOR","Hulu Langat","Appt Taman Tenaga","12",51,66.01429,0,2.171429,19.87571
"3669",2015,7,"SELANGOR","Petaling ","Seksyen U2 Teres E","14",51,66.01429,0,2.171429,19.87571
"3670",2015,7,"SELANGOR","Petaling ","Bl Pju 10 Indah Kondo","11",51,66.01429,0,2.171429,19.87571
"3671",2015,7,"SELANGOR","Petaling ","Du Ss 2  (6)","9",51,66.01429,0,2.171429,19.87571
"3672",2015,7,"SELANGOR","Petaling ","Dun Bg Seksyen 14 Teres A : Jln 14/1- Jln 14/28","30",51,66.01429,0,2.171429,19.87571
"3673",2015,7,"SELANGOR","Selangor","Seri Pristana (Fasa 1)","14",48,66.01429,0,2.171429,19.87571
"3674",2015,7,"SELANGOR","Selangor","Sri Kembangan 7","6",48,66.01429,0,2.171429,19.87571
"3675",2015,7,"SELANGOR","Selangor","Jalan 5/1-10 Taman West Country","9",49,66.01429,0,2.171429,19.87571
"3676",2015,7,"SELANGOR","Selangor","Appt Taman Anggerik Villa 2","9",49,66.01429,0,2.171429,19.87571
"3677",2015,7,"SELANGOR","Sepang","Mutiara Ville Cyberjaya","29",49,66.01429,0,2.171429,19.87571
"3678",2015,7,"SELANGOR","Hulu Langat","Jalan 15/3 Seksyen 15 Bandar Baru Bangi","15",48,66.01429,0,2.171429,19.87571
"3679",2015,7,"SELANGOR","Hulu Langat","Jalan 3/4 Seksyen 3 Bandar Baru Bangi","18",48,66.01429,0,2.171429,19.87571
"3680",2015,7,"SELANGOR","Petaling","TM Pjs 3 Sri Manja Court (Jln Pjs 3/44)","27",48,66.01429,0,2.171429,19.87571
"3681",2015,7,"SELANGOR","Petaling","Bandar Kinrara 5 (Jln Bk 5/9-Bk 5/18) & IPD Serdang","13",48,66.01429,0,2.171429,19.87571
